ITEM,ITEM,,bewar,would,deni,access,inform,heart,dream,master,sigh,peopl,insist,realiti,cost,surpris,laugh,climat,chang,pr,term,cant,switch,global,warm,becam,happen,debat,much,right,wing,person,stupid,enough,arrog,think,bad,outright,pollut,around,globe,convers,sure,shit,beat,activ,dismantl,effort,combat,fuck,kind,life,live,exxon,mobil,went,time,rais,shore,platform,account
everi,everi,0.005703422053231939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014388489208633094,0.007575757575757576,0.0,0.0,0.0,0.0,0.023255813953488372,0.022727272727272728,0.0,0.022727272727272728,0.0,0.041666666666666664,0.022222222222222223,0.2,0.06666666666666667,0.1,0.034482758620689655,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023255813953488372,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.057692307692307696,0.25,0.0,0.0,0.0
sinc,sinc,0.013307984790874524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.0,0.0,0.0,0.0,0.0,0.02877697841726619,0.015151515151515152,0.0,0.0,0.0,0.0,0.09302325581395349,0.09090909090909091,0.0,0.045454545454545456,0.0,0.041666666666666664,0.044444444444444446,0.0,0.0,0.0,0.034482758620689655,0.0,0.025974025974025976,0.0,0.0,0.0,0.043478260869565216,0.0,0.0,0.07407407407407407,0.02631578947368421,0.0,0.0,0.0,0.07142857142857142,0.0,0.046511627906976744,0.0,0.047619047619047616,0.05555555555555555,0.0,0.0,0.0,0.1346153846153846,0.0,0.0,0.0,0.0
afaik,afaik,0.0019011406844106464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012987012987012988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
long,long,0.005703422053231939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.0,0.07142857142857142,0.0,0.0,0.0,0.014388489208633094,0.007575757575757576,0.0,0.3333333333333333,0.0,0.0,0.023255813953488372,0.045454545454545456,0.0,0.045454545454545456,0.0,0.041666666666666664,0.0,0.0,0.0,0.0,0.1724137931034483,0.0,0.012987012987012988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0
happen,happen,0.015209125475285171,0.0,0.015625,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0375,0.0,0.0,0.0,0.0,0.0,0.02877697841726619,0.030303030303030304,0.0,0.0,0.0,0.0,0.046511627906976744,0.045454545454545456,0.0,1.0681818181818181,0.125,0.0625,0.022222222222222223,0.0,0.06666666666666667,0.1,0.034482758620689655,0.0,0.025974025974025976,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.09523809523809523,0.0,0.0,0.0,0.0,0.057692307692307696,0.0,0.0,0.0,0.0
everyon,everyon,0.013307984790874524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.0,0.0,0.0,0.0,0.0,0.007194244604316547,0.007575757575757576,0.0,0.0,0.0,0.0,0.046511627906976744,0.022727272727272728,0.0,0.045454545454545456,0.0,0.020833333333333332,0.0,0.0,0.06666666666666667,0.0,0.034482758620689655,0.0,0.05194805194805195,0.0,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.0,0.0,0.0,0.0,0.0,0.0,0.023255813953488372,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fire,fire,0.0038022813688212928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022727272727272728,0.0,0.022727272727272728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019230769230769232,0.0,0.0,0.0,0.0
nuke,nuke,0.0019011406844106464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022727272727272728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
philosophi,philosophi,0.0019011406844106464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sure,sure,0.009505703422053232,0.0,0.03125,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.0,0.0,0.0,0.0,0.0,0.007194244604316547,0.015151515151515152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020833333333333332,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.012987012987012988,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,1.0,0.05263157894736842,0.6666666666666666,0.25,1.0,0.0,0.0,0.0,0.045454545454545456,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
repres,repres,0.0019011406844106464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007194244604316547,0.007575757575757576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.0,0.0,0.0,0.0,0.0,0.0,0.023255813953488372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
genuin,genuin,0.0019011406844106464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007194244604316547,0.007575757575757576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
smac,smac,0.005703422053231939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007194244604316547,0.007575757575757576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
civ,civ,0.02091254752851711,0.0,0.015625,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007194244604316547,0.022727272727272728,0.0,0.0,0.0,0.0,0.023255813953488372,0.022727272727272728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.012987012987012988,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.047619047619047616,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0
3,3,0.0038022813688212928,0.0,0.015625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012987012987012988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4,0.0019011406844106464,0.0,0.015625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02158273381294964,0.007575757575757576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022727272727272728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
would,would,0.026615969581749048,1.0,1.078125,0.1,0.5,0.08333333333333333,0.3333333333333333,0.5,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.014388489208633094,0.030303030303030304,0.0,0.0,0.0,0.0,0.023255813953488372,0.022727272727272728,0.0,0.022727272727272728,0.0,0.041666666666666664,0.0,0.0,0.0,0.1,0.034482758620689655,0.0,0.05194805194805195,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.07407407407407407,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.05555555555555555,0.0,0.0,0.0,0.019230769230769232,0.0,0.0,0.0,0.0
chang,chang,0.06463878326996197,0.0,0.140625,0.6,0.5,0.08333333333333333,0.0,0.0,0.0,0.0,0.0875,0.0,0.07142857142857142,0.16666666666666666,0.0,0.0,0.8057553956834532,1.0454545454545454,0.3333333333333333,0.3333333333333333,0.14285714285714285,0.4,0.11627906976744186,0.045454545454545456,0.0,0.18181818181818182,0.5,0.25,0.08888888888888889,0.2,0.06666666666666667,0.2,0.10344827586206896,0.5,0.16883116883116883,0.07692307692307693,0.5,0.08695652173913043,0.17391304347826086,0.6666666666666666,0.0,0.18518518518518517,0.10526315789473684,0.0,0.0,1.0,0.21428571428571427,1.0,0.11627906976744186,0.045454545454545456,0.14285714285714285,0.05555555555555555,0.0,0.0,0.125,0.07692307692307693,0.5,0.0,0.3333333333333333,0.0
forc,forc,0.0019011406844106464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007575757575757576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022222222222222223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023255813953488372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
popul,popul,0.0076045627376425855,0.0,0.015625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046511627906976744,0.0,0.0,0.022727272727272728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012987012987012988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
move,move,0.005703422053231939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02158273381294964,0.015151515151515152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044444444444444446,0.0,0.0,0.0,0.034482758620689655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.0,0.0,0.0,0.0
past,past,0.0038022813688212928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.045454545454545456,0.0,0.022727272727272728,0.0,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wait,wait,0.005703422053231939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014388489208633094,0.007575757575757576,0.0,0.0,0.14285714285714285,0.0,0.023255813953488372,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
politic,politic,0.0076045627376425855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007575757575757576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019230769230769232,0.0,0.0,0.0,0.0
everyth,everyth,0.0038022813688212928,0.0,0.046875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06896551724137931,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sun,sun,0.0019011406844106464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02158273381294964,0.022727272727272728,0.0,0.0,0.0,0.0,0.0,0.022727272727272728,0.0,0.0,0.0,0.0,0.044444444444444446,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
